datum;gremium;top;titel;hinweis;abstimmungshinweis
2026-07-08;Marktgemeinderat;2;Bekanntmachung der Jahresrechnung 2025 des Marktes Oberstaufen - Beschlussfassung (beschließend);Juli 2026 Bekanntmachung der Jahresrechnung 2025 des Marktes Oberstaufen Die Jahresrechnung 2025 ist innerhalb von sechs Mon aten aufzustellen und dem Gemeinderat vorzulegen, um diese bekanntzumachen (Art.;
2026-07-08;Marktgemeinderat;3;Regiebetrieb Wasserwerk Oberstaufen: Steuerlicher Jahresabschluss 2022 - Beschlussfassung (beschließend);Der kaufmännische Jahresabschluss 2025 für das Wasserwerk Oberstaufen (Regiebetrieb) liegt noch nicht vor. Der Marktgemeinderat beauftragte den Rechnungsprüfungsausschuss mit der örtlichen Rechnungsprüfung (Art.;
2026-07-08;Marktgemeinderat;4.1;Ludwig-Maier-Weg 2, Antrag auf Errichtung eines Verbrauchermarktes - Beschlussfassung (beschließend);Bauvorhaben Ludwig-Maier-Weg 2, Antrag auf Errichtung eines Verbrauchermarktes Die Firma Seitz Consulting GmbH beantragte die Einl eitung eines Bauleitplanungsverfahrens für die Errichtung eines Verbrauchermarktes im Ludwig- Maier-Weg 2.;
2026-07-08;Marktgemeinderat;4.2;Schloßstraße 29, Bauantrag zu Neubau eines Hotels mit Tiefgarage, Schlossberg Resort Oberstaufen - Beschlussfassung (beschließend);Bauvorhaben Ludwig-Maier-Weg 2, Antrag auf Errichtung eines Verbrauchermarktes Die Firma Seitz Consulting GmbH beantragte die Einl eitung eines Bauleitplanungsverfahrens für die Errichtung eines Verbrauchermarktes im Ludwig- Maier-Weg 2. Es ist hierzu erforderlich, den besteh enden Bebauungsplan zu ändern bzw.;
2026-07-08;Marktgemeinderat;4.3;Schloßstraße 27, Bauantrag über ein Mitarbeiterhaus - Beschlussfassung (beschließend);Über den QR-Code ist die Jahresrechnung visuell abrufbar. Dem Marktgemeinderat wurde die Jahresrechnung 2025 (Art. 102 GO) mit dem folgenden Ergebnis bekanntgegeben: Die Einnahmen un d Ausgaben im Verwaltungshaushalt betragen 36.;
2026-07-08;Marktgemeinderat;4.4;Kalzhofer Straße 55, Bauantrag zur Erweiterung Mittagsbetreuung - Beschlussfassung (beschließend);Schloßstraße 29, Bauantrag zu Neubau eines Hotels mit Tiefgarage, Schlossberg Resort Oberstaufen Laut Mitteilung des Planungsbüro Alpstein Planung G mbH vom 30. Juni 2026 haben sich mit dem Bauantrag zum bereits verabschiedeten Vorhaben- und Erschließungsplan noch folgende kleinere Änderungen ergeben: - die Wand im 3.;
2026-07-08;Marktgemeinderat;5;Umbau ehem. Krankenhaus, Ermächtigung für Auftragsvergaben - Beschlussfassung (beschließend);Krankenhaus mit 12 Wohn ungen in den Obergeschossen wurde im November 2024 die Zuschusse ingabe durchgeführt. Das Gesamtprojekt ist mit Kosten von 6.311.450,94 Euro brutto veranschlagt. (Stand 05.02.2025) Es stehen hierzu nachfolgende Fördergelder in Aussicht: Zuwendung ISA (für Familienzentrum) 532.;
2026-07-08;Marktgemeinderat;6;Bericht zur angekündigten Schließung der Eisenbahnunterführung im Moos, Beratung und Entscheidung über weiteres Vorgehen - Beschlussfassung (beschließend);Über den QR-Code ist die Jahresrechnung visuell abrufbar. Dem Marktgemeinderat wurde die Jahresrechnung 2025 (Art. 102 GO) mit dem folgenden Ergebnis bekanntgegeben: Die Einnahmen un d Ausgaben im Verwaltungshaushalt betragen 36.;
2026-06-11;Marktgemeinderat;1;Vereidigung von Herrn Michael Rosenberger als Mitglied des Marktgemeinderates Oberstaufen (informativ);Juni 2026 Vereidigung von Herrn Michael Rosenberger als Mitgl ied des Marktgemeinderates Oberstaufen Da Michael Rosenberger bei der konstituierenden Sit zung des Marktgemeinderates nicht anwesend war, wurde dessen Vereidigung von Er stem Bürgermeister Martin Beckel zu Beginn dieser Sitzung vorgenommen.;
2026-06-11;Marktgemeinderat;3;"Neubau Feuerwehrhaus; Standortanalyse - informativ (informativ)";"Neubau Feuerwehrhaus; Vorstellung Ergebnisse der Standortanalyse Im Rahmen des bereits Ende des Jahres 2024 verabsch iedeten Feuerwehrbedarfsplanes wurde deutlich, dass das Feu erwehrgerätehaus in Oberstaufen nicht mehr den aktuellen Anforderungen standhalten kann und eine Ertüchtigung des alten Gebäudes auf die neuen Stand ards faktisch nicht möglich ist.";
2026-06-11;Marktgemeinderat;4;Änderung des Orts- und Gemeindeverfassungsrechts (beschließend);Änderung des Orts- und Gemeindeverfassungsrechts Der Marktgemeinderat beschloss mit 16:1 Stimmen die Betriebssatzung des Tourismus Eigenbetrieb Oberstaufen (TEO). Die Betriebssatzung tritt zum 01.;16:1
2026-06-11;Marktgemeinderat;4.1;Änderung der Betriebssatzung für den Tourismus Eigenbetrieb Oberstaufen - Beschlussfassung (beschließend);Änderung des Orts- und Gemeindeverfassungsrechts Der Marktgemeinderat beschloss mit 16:1 Stimmen die Betriebssatzung des Tourismus Eigenbetrieb Oberstaufen (TEO). Die Betriebssatzung tritt zum 01.;16:1
2026-06-11;Marktgemeinderat;4.2;Änderung der Kostensatzung - Beschlussfassung (beschließend);Änderung des Orts- und Gemeindeverfassungsrechts Der Marktgemeinderat beschloss mit 16:1 Stimmen die Betriebssatzung des Tourismus Eigenbetrieb Oberstaufen (TEO). Die Betriebssatzung tritt zum 01.;16:1
2026-06-11;Marktgemeinderat;5;Bestellung von Beauftragten (beschließend);Bestellung von Beauftragten - Jugendbeauftragter Aus den Reihen des Marktgemeinderates wurde für den Posten des Jugendbeauftragten Herr Michael Rosenberger vorgesc hlagen. Es folgten keine weiteren Vorschläge.;
2026-06-11;Marktgemeinderat;5.1;Bestellung eines Jugendbeauftragten - Beschlussfassung (beschließend);Bestellung von Beauftragten - Jugendbeauftragter Aus den Reihen des Marktgemeinderates wurde für den Posten des Jugendbeauftragten Herr Michael Rosenberger vorgesc hlagen. Es folgten keine weiteren Vorschläge.;
2026-06-11;Marktgemeinderat;5.2;Bestellung eines Familienbeauftragten - Beschlussfassung (beschließend);Bestellung von Beauftragten - Jugendbeauftragter Aus den Reihen des Marktgemeinderates wurde für den Posten des Jugendbeauftragten Herr Michael Rosenberger vorgesc hlagen. Es folgten keine weiteren Vorschläge.;
2026-06-11;Marktgemeinderat;5.3;Bestellung eines Seniorenbeauftragten - Beschlussfassung (beschließend);Bestellung von Beauftragten - Jugendbeauftragter Aus den Reihen des Marktgemeinderates wurde für den Posten des Jugendbeauftragten Herr Michael Rosenberger vorgesc hlagen. Es folgten keine weiteren Vorschläge.;
2026-06-11;Marktgemeinderat;6;Entsendung von Erstem Bürgermeister Martin Beckel in den Aufsichtsrat des SWW Oberallgäu - Beschlussfassung (beschließend);"Juni 2026 Vereidigung von Herrn Michael Rosenberger als Mitgl ied des Marktgemeinderates Oberstaufen Da Michael Rosenberger bei der konstituierenden Sit zung des Marktgemeinderates nicht anwesend war, wurde dessen Vereidigung von Er stem Bürgermeister Martin Beckel zu Beginn dieser Sitzung vorgenommen. Damit ist das neu gewählte Gremium vollständig vereidigt. Neubau Feuerwehrhaus; Vorstellung Ergebnisse der Standorta";
2026-06-11;Marktgemeinderat;7;Sachstand IT-Sicherheit beim Markt, Beschaffung einer erweiteren IT-Sicherheitsplattform - informativ (informativ);Aus der Sitzung des Marktgemeinderates vom 11. Juni 2026 Vereidigung von Herrn Michael Rosenberger als Mitgl ied des Marktgemeinderates Oberstaufen Da Michael Rosenberger bei der konstituierenden Sit zung des Marktgemeinderates nicht anwesend war, wurde dessen Vereidigung von Er stem Bürgermeister Martin Beckel zu Beginn dieser Sitzung vorgenommen.;
2026-06-11;Marktgemeinderat;9;Auftragsvergabe Kanalsanierung im Rahmen der Eigenüberwachungsverordnung (EÜV) 2026 - Beschlussfassung (beschließend);Juni 2026 Vereidigung von Herrn Michael Rosenberger als Mitgl ied des Marktgemeinderates Oberstaufen Da Michael Rosenberger bei der konstituierenden Sit zung des Marktgemeinderates nicht anwesend war, wurde dessen Vereidigung von Er stem Bürgermeister Martin Beckel zu Beginn dieser Sitzung vorgenommen.;
2026-06-11;Marktgemeinderat;10;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);In den letzten Monaten haben Cyberangriffe im öffentlichen Sektor stark zu genommen. Um die Widerstandsfähigkeit gegen solche Angriffe zu erhöh en, wird nun in eine leistungsfähigere IT-Sicherheitsplattform investier t. Davon erwartet man sich ein erhöhtes Sicherheitsniveau, schnellere Reaktionsfähigkeit im Fall von Angriffen auf die gemeindliche IT, erhöhte Transparenz durch vollstän digen Überblick über die Sicherh;
2026-05-07;Marktgemeinderat;1;Eröffnung der neuen Sitzungsperiode des Marktgemeinderates und Verabschiedung ausscheidender Marktgemeinderatsmitglieder (informativ);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;2;Vereidigung der neuen Mitglieder des Marktgemeinderates (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;3;Erlass der Satzung zur Regelung von Fragen des örtlichen Gemeindeverfassungsrechts - Beschlussfassung (beschließend);Bestellung von Erstem Bürgermeister Martin Beckel zum Standesbeamten Gemäß § 2 Abs. 3 der Verordnung zur Ausführung des Personenstandsgesetzes können Gemeinden ihren Ersten Bürgermeister zum Sta ndesbeamten bestellen, sondern der Aufgabenbereich auf die Vornahme von Eh eschließungen und die Begründung von Lebenspartnerschaften beschränkt wir d.;
2026-05-07;Marktgemeinderat;4;Erlass der Geschäftsordnung für den Marktgemeinderat - Beschlussfassung (beschließend);Bestellung von Erstem Bürgermeister Martin Beckel zum Standesbeamten Gemäß § 2 Abs. 3 der Verordnung zur Ausführung des Personenstandsgesetzes können Gemeinden ihren Ersten Bürgermeister zum Sta ndesbeamten bestellen, sondern der Aufgabenbereich auf die Vornahme von Eh eschließungen und die Begründung von Lebenspartnerschaften beschränkt wir d.;
2026-05-07;Marktgemeinderat;5;Bekanntgabe der Fraktionsvorsitzenden (informativ);Bekanntgabe der Fraktionsvorsitzenden Für die Legislaturperiode 2026 – 2032 wurden von de n im Marktgemeinderat vertretenen Fraktionen folgende Marktgemeinderatsmi tglieder als Fraktionsvorsitzende benannt: CSU Heinz Heim Freie Wähler Markus Gorbach UTL Thomas Wintergerst PLW Matthias Probst SPD Beate Kümpflein Besetzung der Ausschüsse Einstimmig beschloss der Marktgemeinderat die Besetzung der Ausschüsse, sowie die ;Einstimmig
2026-05-07;Marktgemeinderat;6;Bildung eines Wahlausschusses für die Wahl der weiteren Bürgermeister - Beschlussfassung (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;7;Wahl der weiteren Bürgermeister (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
