datum;gremium;top;titel;beschlussstatus;berichte;beschlusshinweis;abstimmungshinweis
2026-07-29;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2.1;"St.-Rochus-Weg 6, Fl.-Nr. 864 Gem. Aach i. Allg.; Errichtung einer Solaranlage auf Hausdach eines denkmalgeschützten Gebäudes (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2.2;"Säntisweg 11, Fl.-Nr. 212/9 Gem. Oberstaufen; Anbau eines Wohnraumes an das bestehende Einfamilienhaus (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2.3;"Knechtenhofen 7a, Fl.-Nr. 1144 Gem. Thalkirchdorf; Neubau eines Hofcafes (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2.4;"Burgangerweg 37, Fl.-Nr. 711/4 Gemarkung Thalkirchdorf; Nutzungsänderung d. best. UG durch Einbau einer Ferienwohnung u. einer Festwohnung. Nutzungsänderung d. best. DG durch Veränderung d. best. Festwohnung in eine Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2.5;"Am Steinbruch 4, Fl.-Nr. 523/29 Gem. Oberstaufen; Umbau bestehendes Wohnhaus, Errichtung Nebengebäude und Carport (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;2.6;"Burgangerweg 2, Fl.-Nr. 724 Gem. Thalkirchdorf; Nutzungsänderung OG; Wohnung in Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;3;Bauvoranfragen;kein beschließender TOP-Titel;0;;
2026-07-29;Bau- und Umweltausschuss;3.1;"Osterdorf 12; Fl.-Nr. 301 Gem. Thalkirchdorf; Ersatzneubau des Wohnteils eines ehem. landw. Gebäudes mit 2 + 4 Wohnungen ( 2 Bestand, 4 Neubau) (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;3.2;"Badstraße 5, Fl.-Nr. 37/8 Gemarkung Thalkirchdorf; Neubau eines Wohnhauses/Doppelhauses mit Garage (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;4;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;4.1;"Winterdienst; Vergabe Schneeräumung von Parkplätzen (beschließend)";beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;5;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2026-07-29;Bau- und Umweltausschuss;6;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2026-07-08;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2026-07-08;Marktgemeinderat;2;Bekanntmachung der Jahresrechnung 2025 des Marktes Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Juli 2026 Bekanntmachung der Jahresrechnung 2025 des Marktes Oberstaufen Die Jahresrechnung 2025 ist innerhalb von sechs Mon aten aufzustellen und dem Gemeinderat vorzulegen, um diese bekanntzumachen (Art.;
2026-07-08;Marktgemeinderat;3;Regiebetrieb Wasserwerk Oberstaufen: Steuerlicher Jahresabschluss 2022 - Beschlussfassung (beschließend);beschließend vorgesehen;1;Der kaufmännische Jahresabschluss 2025 für das Wasserwerk Oberstaufen (Regiebetrieb) liegt noch nicht vor. Der Marktgemeinderat beauftragte den Rechnungsprüfungsausschuss mit der örtlichen Rechnungsprüfung (Art.;
2026-07-08;Marktgemeinderat;4;Bauvorhaben (beschließend);beschließend vorgesehen;1;;
2026-07-08;Marktgemeinderat;4.1;Ludwig-Maier-Weg 2, Antrag auf Errichtung eines Verbrauchermarktes - Beschlussfassung (beschließend);beschließend vorgesehen;1;Bauvorhaben Ludwig-Maier-Weg 2, Antrag auf Errichtung eines Verbrauchermarktes Die Firma Seitz Consulting GmbH beantragte die Einl eitung eines Bauleitplanungsverfahrens für die Errichtung eines Verbrauchermarktes im Ludwig- Maier-Weg 2.;
2026-07-08;Marktgemeinderat;4.2;Schloßstraße 29, Bauantrag zu Neubau eines Hotels mit Tiefgarage, Schlossberg Resort Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Bauvorhaben Ludwig-Maier-Weg 2, Antrag auf Errichtung eines Verbrauchermarktes Die Firma Seitz Consulting GmbH beantragte die Einl eitung eines Bauleitplanungsverfahrens für die Errichtung eines Verbrauchermarktes im Ludwig- Maier-Weg 2. Es ist hierzu erforderlich, den besteh enden Bebauungsplan zu ändern bzw.;
2026-07-08;Marktgemeinderat;4.3;Schloßstraße 27, Bauantrag über ein Mitarbeiterhaus - Beschlussfassung (beschließend);beschließend vorgesehen;1;Über den QR-Code ist die Jahresrechnung visuell abrufbar. Dem Marktgemeinderat wurde die Jahresrechnung 2025 (Art. 102 GO) mit dem folgenden Ergebnis bekanntgegeben: Die Einnahmen un d Ausgaben im Verwaltungshaushalt betragen 36.;
2026-07-08;Marktgemeinderat;4.4;Kalzhofer Straße 55, Bauantrag zur Erweiterung Mittagsbetreuung - Beschlussfassung (beschließend);beschließend vorgesehen;1;Schloßstraße 29, Bauantrag zu Neubau eines Hotels mit Tiefgarage, Schlossberg Resort Oberstaufen Laut Mitteilung des Planungsbüro Alpstein Planung G mbH vom 30. Juni 2026 haben sich mit dem Bauantrag zum bereits verabschiedeten Vorhaben- und Erschließungsplan noch folgende kleinere Änderungen ergeben: - die Wand im 3.;
