datum;gremium;vorlage;titel;ergebnis;ja;nein;enthaltungen;einstimmig;betrag_euro
2024-01-22;Ausschuss für Umwelt und Technik;SV-252/2023;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;einstimmig;;;;ja;
2024-01-22;Ausschuss für Umwelt und Technik;SV-249/2023;Wirtschaftsplan 2024 - Eigenbetrieb städt. Abwasserbeseitigung;einstimmig;;;;ja;6597700
2024-01-23;Verwaltungsausschuss;SV-252/2023;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;einstimmig;;;;ja;
2024-01-23;Verwaltungsausschuss;SV-251/2023;Wirtschaftsplan 2024 - Alten- und Pflegeheim Spital zum Heiligen Geist;einstimmig;;;;ja;4635800
2024-01-29;Gemeinderat;SV-252/2023;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;einstimmig;;;;ja;
2024-01-29;Gemeinderat;SV-249/2023;Wirtschaftsplan 2024 - Eigenbetrieb städt. Abwasserbeseitigung;einstimmig;;;;ja;6597700
2024-01-29;Gemeinderat;SV-251/2023;Wirtschaftsplan 2024 - Alten- und Pflegeheim Spital zum Heiligen Geist;einstimmig;;;;ja;4635800
2024-01-29;Gemeinderat;SV-250/2023;;einstimmig;;;;ja;36575000
2024-01-29;Gemeinderat;SV-5/2024;Annahme und Vermittlung von Spenden und Zuwendungen aus dem 2. Halbjahr 2023;einstimmig;;;;ja;
2024-01-29;Gemeinderat;SV-7/2024;Beschaffung von Strom und Gas für den Lieferzeitraum ab dem 01.01.2025;einstimmig;;;;ja;
2024-01-29;Gemeinderat;SV-2/2024;Erweiterung des Gymnasiums;ausgezählt;9;18;0;nein;10100000
2024-01-29;Gemeinderat;SV-2/2024;Erweiterung des Gymnasiums;ausgezählt;20;3;4;nein;10100000
2024-02-26;Gemeinderat;SV-3/2024;"Bebauungsplan ""2. Erweiterung Gewerbepark Wasserstall"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee mit 2. Änderung des Bebauungsplans ""1. Erweiterung Gewerbepark Wasserstall"" und 3. Änderung des Bebauungsplans ""Gewerbepark Wasserstall"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-4/2024;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-26/2024;Gewerbepark Wasserstall (2. Erweiterung) - Durchführungsbeschluss;einstimmig;;;;ja;5900000
2024-02-26;Gemeinderat;SV-24/2024;"Baugebiet ""Drei Eichen VI"" – Abwicklung über einen Erschließungsträger";ausgezählt;18;1;5;nein;
2024-02-26;Gemeinderat;SV-20/2024;Sanierung Kapelle Osterhofen - Durchführungsbeschluss;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-1/2024;Strand- und Freibad: Einführung eines ermäßigten Tarifs für Rentner und Pensionäre;ausgezählt;23;0;2;nein;
2024-02-26;Gemeinderat;SV-246/2023;Verkaufsoffener Sonntag im Frühling: Erweiterung des Anlasses um den Bad Waldseer Kultursonntag und Änderung der Satzung;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-29/2024;Kreditaufnahme für den Eigenbetrieb Städt. Abwasserbeseitigung;einstimmig;;;;ja;2000000
2024-02-26;Gemeinderat;SV-224/2023;Anpassung der Stellplatzablösebeträge;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-225/2023;Anpassung der städtischen Förderrichtlinien im Rahmen der Denkmal- und Stadtbildpflege;einstimmig;;;;ja;
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-4/2024;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;einstimmig;;;;ja;
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-62/2023;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Aufstellungsbeschluss;einstimmig;;;;ja;
2024-03-04;Ausschuss für Umwelt und Technik;SV-6/2024;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Entwurfsbeschluss";einstimmig;;;;ja;
2024-03-04;Ausschuss für Umwelt und Technik;SV-30/2024;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach""";ausgezählt;10;0;2;nein;
2024-03-04;Ausschuss für Umwelt und Technik;SV-28/2024;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren";ausgezählt;11;0;1;nein;
2024-03-04;Ausschuss für Umwelt und Technik;SV-27/2024;"Baugebiet ""Drei-Eichen-VI"" – Erschließung - Planungsbeschluss";ausgezählt;10;0;2;nein;
2024-03-04;Ausschuss für Umwelt und Technik;SV-36/2024;"Baugebiet ""Drei Eichen VI"" – Abwassertechnische Erschließung – Vergabe Planungsleistungen";ausgezählt;10;0;2;nein;
2024-03-18;Gemeinderat;SV-84/2023;"Vorhabenbezogener Bebauungsplan ""Abfahrt B 30 Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;16;4;6;nein;
2024-03-18;Gemeinderat;SV-42/2024;Verlängerung der Durchführungsfrist des Sanierungsgebietes „Altstadt III“;einstimmig;;;;ja;
2024-04-15;Ausschuss für Umwelt und Technik;SV-32/2024;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;10;3;0;nein;
2024-04-15;Ausschuss für Umwelt und Technik;SV-33/2024;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-15;Ausschuss für Umwelt und Technik;SV-34/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-15;Ausschuss für Umwelt und Technik;SV-35/2024;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";ausgezählt;10;3;0;nein;
2024-04-15;Ausschuss für Umwelt und Technik;SV-43/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-63/2024;"Sanierung Bad Waldsee ""Altstadt III"" – Sanierungssatzung – Verlängerung der Durchführungsfrist";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-32/2024;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;8;9;6;nein;
2024-04-22;Gemeinderat;SV-32/2024;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;16;2;5;nein;
2024-04-22;Gemeinderat;SV-34/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
