datum;uhrzeit;kalenderwoche;gremium;sitzungsnummer;tagesordnungspunkte;protokoll_veroeffentlicht;dokumente
2024-01-16;18:00;3;Ortschaftsrat Mittelurbach;13;0;nein;0
2024-01-16;19:30;3;Ortschaftsrat Michelwinnaden;14;0;nein;0
2024-01-17;18:00;3;Ortschaftsrat Haisterkirch;14;0;nein;0
2024-01-17;19:30;3;Ortschaftsrat Reute-Gaisbeuren;24;0;nein;0
2024-01-22;18:01;4;Ausschuss für Umwelt und Technik;14;5;ja;7
2024-01-23;18:00;4;Verwaltungsausschuss;15;5;ja;7
2024-01-29;18:03;5;Gemeinderat;26;8;ja;15
2024-02-20;19:30;8;Ortschaftsrat Reute-Gaisbeuren;25;0;nein;0
2024-02-21;19:30;8;Ortschaftsrat Haisterkirch;15;0;nein;0
2024-02-26;18:02;9;Gemeinderat;27;16;ja;16
2024-02-27;17:55;9;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;8;3;ja;6
2024-03-04;18:02;10;Ausschuss für Umwelt und Technik;15;8;ja;10
2024-03-05;18:00;10;Verwaltungsausschuss;16;3;ja;3
2024-03-05;19:30;10;Ortschaftsrat Michelwinnaden;15;0;nein;0
2024-03-07;18:00;10;Kulturbeirat (kleine Runde);10;0;nein;0
2024-03-12;19:30;11;Ortschaftsrat Reute-Gaisbeuren;26;0;nein;0
2024-03-18;18:57;12;Gemeinderat;28;6;ja;5
2024-04-09;19:30;15;Ortschaftsrat Reute-Gaisbeuren;27;0;nein;0
2024-04-11;19:00;15;Ortschaftsrat Mittelurbach;14;0;nein;0
2024-04-15;19:14;16;Ausschuss für Umwelt und Technik;16;8;ja;8
2024-04-16;18:00;16;Verwaltungsausschuss;17;0;nein;0
2024-04-17;19:30;16;Ortschaftsrat Haisterkirch;16;0;nein;0
2024-04-22;18:03;17;Gemeinderat;29;18;ja;17
2024-04-23;17:45;17;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;9;4;ja;6
2024-04-25;18:30;17;Ortschaftsrat Mittelurbach;15;0;nein;0
2024-05-06;18:00;19;Kulturbeirat (große Runde);11;0;nein;0
2024-05-07;18:00;19;Ortschaftsrat Michelwinnaden;16;0;nein;0
2024-05-07;19:00;19;Ortschaftsrat Reute-Gaisbeuren;28;0;nein;0
2024-05-13;18:00;20;Ausschuss für Umwelt und Technik;17;6;ja;11
2024-05-14;18:00;20;Verwaltungsausschuss;18;6;ja;8
2024-06-03;18:02;23;Gemeinderat;31;15;ja;19
2024-06-11;19:30;24;Ortschaftsrat Reute-Gaisbeuren;29;0;nein;0
2024-06-13;19:00;24;Ortschaftsrat Mittelurbach;16;0;nein;0
2024-06-17;18:00;25;Ausschuss für Umwelt und Technik;18;10;ja;10
2024-06-18;18:00;25;Verwaltungsausschuss;19;3;ja;3
2024-07-04;18:00;27;Kulturbeirat (kleine Runde);13;0;nein;0
2024-07-08;18:00;28;Gemeinderat;32;11;ja;7
2024-07-11;17:37;28;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;10;3;ja;5
2024-07-15;18:02;29;Gemeinderat;33;10;ja;19
2024-07-16;18:00;29;Ortschaftsrat Reute-Gaisbeuren;30;0;nein;0
2024-07-16;19:30;29;Ortschaftsrat Haisterkirch;17;0;nein;0
2024-07-18;18:00;29;Ortschaftsrat Michelwinnaden;17;0;nein;0
2024-07-18;20:00;29;Ortschaftsrat Mittelurbach;17;0;nein;0
2024-07-30;18:00;31;Ortschaftsrat Mittelurbach;18;0;nein;0
2024-08-05;18:01;32;Gemeinderat;34;11;ja;9
2024-09-10;19:30;37;Ortschaftsrat Reute-Gaisbeuren;31;0;nein;0
2024-09-12;19:00;37;Ortschaftsrat Mittelurbach;19;0;nein;0
2024-09-16;18:00;38;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;11;ja;11
2024-09-23;18:02;39;Gemeinderat;35;15;ja;9
2024-09-25;19:30;39;Ortschaftsrat Haisterkirch;18;0;nein;0
2024-10-01;19:30;40;Ortschaftsrat Michelwinnaden;18;0;nein;0
2024-10-02;17:40;40;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;11;3;ja;5
2024-10-07;18:30;41;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;6;ja;6
2024-10-14;18:05;42;Gemeinderat;36;9;ja;9
2024-10-15;19:30;42;Ortschaftsrat Reute-Gaisbeuren;32;0;nein;0
2024-11-04;18:01;45;Gemeinderat;37;11;ja;13
2024-11-19;18:30;47;Ortschaftsrat Michelwinnaden;19;0;nein;0
2024-11-19;19:30;47;Ortschaftsrat Reute-Gaisbeuren;33;0;nein;0
2024-11-20;19:00;47;Ortschaftsrat Haisterkirch;19;0;nein;0
2024-11-25;18:00;48;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;10;ja;10
2024-11-26;18:00;48;Verwaltungsausschuss;21;5;ja;6
2024-12-02;18:00;49;Gemeinderat;38;15;ja;16
2024-12-04;19:00;49;Ortschaftsrat Mittelurbach;20;0;nein;0
2024-12-09;18:39;50;Gemeinderat;39;16;ja;20
2024-12-17;19:30;51;Ortschaftsrat Reute-Gaisbeuren;34;0;nein;0
2025-01-14;18:00;3;Ortschaftsrat Haisterkirch;20;0;nein;0
2025-01-14;19:00;3;Ortschaftsrat Reute-Gaisbeuren;35;0;nein;0
2025-01-22;18:00;4;Ortschaftsrat Mittelurbach;21;0;nein;0
2025-01-22;19:00;4;Ortschaftsrat Michelwinnaden;20;0;nein;0
2025-01-27;18:01;5;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;7;ja;9
2025-01-28;18:02;5;Verwaltungsausschuss;22;4;ja;5
2025-02-03;18:00;6;Gemeinderat;40;14;ja;18
2025-02-04;17:36;6;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;12;3;ja;5
2025-02-18;19:30;8;Ortschaftsrat Reute-Gaisbeuren;36;0;nein;0
2025-02-19;19:30;8;Ortschaftsrat Haisterkirch;21;0;nein;0
2025-02-20;19:00;8;Ortschaftsrat Mittelurbach;22;0;nein;0
2025-03-11;18:00;11;Verwaltungsausschuss;23;0;nein;0
2025-03-18;19:30;12;Ortschaftsrat Reute-Gaisbeuren;37;0;nein;0
2025-03-24;18:00;13;Gemeinderat;41;12;ja;12
2025-03-27;19:00;13;Ortschaftsrat Mittelurbach;23;0;nein;0
2025-03-31;17:00;14;Arbeitskreis Kinder, Jugend und Bildung;5;4;nein;2
2025-04-01;19:30;14;Ortschaftsrat Michelwinnaden;21;0;nein;0
2025-04-02;19:30;14;Ortschaftsrat Haisterkirch;22;0;nein;0
2025-04-07;18:00;15;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;8;ja;8
2025-04-08;18:00;15;Verwaltungsausschuss;24;5;ja;6
2025-04-28;19:04;18;Gemeinderat;42;11;ja;11
2025-05-06;19:30;19;Ortschaftsrat Michelwinnaden;22;0;nein;0
