datum;gremium;nummer;titel;vorlage
2024-01-22;Ausschuss für Umwelt und Technik;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-01-22;Ausschuss für Umwelt und Technik;2;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;SV-252/2023
2024-01-22;Ausschuss für Umwelt und Technik;3;Wirtschaftsplan 2024 - Eigenbetrieb städt. Abwasserbeseitigung;SV-249/2023
2024-01-22;Ausschuss für Umwelt und Technik;4;Verschiedenes;
2024-01-22;Ausschuss für Umwelt und Technik;5;Bekanntgaben;
2024-01-23;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-01-23;Verwaltungsausschuss;2;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;SV-252/2023
2024-01-23;Verwaltungsausschuss;3;Wirtschaftsplan 2024 - Alten- und Pflegeheim Spital zum Heiligen Geist;SV-251/2023
2024-01-23;Verwaltungsausschuss;4;Verschiedenes;
2024-01-23;Verwaltungsausschuss;5;Bekanntgaben;
2024-01-29;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-01-29;Gemeinderat;2;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;SV-252/2023
2024-01-29;Gemeinderat;3;Wirtschaftspläne mit Finanzplanung für das Wirtschaftsjahr 2024;
2024-01-29;Gemeinderat;4;Annahme und Vermittlung von Spenden und Zuwendungen aus dem 2. Halbjahr 2023;SV-5/2024
2024-01-29;Gemeinderat;5;Beschaffung von Strom und Gas für den Lieferzeitraum ab dem 01.01.2025;SV-7/2024
2024-01-29;Gemeinderat;6;Erweiterung des Gymnasiums;SV-2/2024
2024-01-29;Gemeinderat;7;Verschiedenes;
2024-01-29;Gemeinderat;8;Bekanntgaben;
2024-02-26;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-02-26;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-02-26;Gemeinderat;3;Einwohnerfragestunde;
2024-02-26;Gemeinderat;4;"Bebauungsplan ""2. Erweiterung Gewerbepark Wasserstall"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee mit 2. Änderung des Bebauungsplans ""1. Erweiterung Gewerbepark Wasserstall"" und 3. Änderung des Bebauungsplans ""Gewerbepark Wasserstall"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-3/2024
2024-02-26;Gemeinderat;5;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;SV-4/2024
2024-02-26;Gemeinderat;6;Gewerbepark Wasserstall (2. Erweiterung) - Durchführungsbeschluss;SV-26/2024
2024-02-26;Gemeinderat;7;"Baugebiet ""Drei Eichen VI"" – Abwicklung über einen Erschließungsträger";SV-24/2024
2024-02-26;Gemeinderat;8;Sanierung Kapelle Osterhofen - Durchführungsbeschluss;SV-20/2024
